label,ensemble,confidence,loss_based,entropy,inverted
0,0.30271968245506287,0.14355385303497314,0.3520331084728241,0.5224243998527527,0
0,0.49707379937171936,0.3471645414829254,0.6342549324035645,0.5225299596786499,0
1,0.6019624471664429,0.4589312672615051,0.7639625072479248,0.5640246272087097,0
0,0.9123396873474121,0.9963021874427795,0.9999939203262329,0.5691064596176147,0
1,0.7959327697753906,0.7597367763519287,0.9669986963272095,0.5261929035186768,0
0,0.7258747220039368,0.6385942101478577,0.914483904838562,0.5232172608375549,0
1,0.7490002512931824,0.6792879700660706,0.9356963038444519,0.5150327682495117,0
0,0.7912935018539429,0.7514140009880066,0.9643484950065613,0.5249423384666443,0
0,0.723434329032898,0.6388221979141235,0.9146139621734619,0.5102992653846741,0
1,0.8187903165817261,0.8019668459892273,0.978586733341217,0.5328444242477417,0
1,0.8728997111320496,0.8896496891975403,0.9939419627189636,0.5973151326179504,0
1,0.5719817876815796,0.4267645478248596,0.7278342247009277,0.5507113337516785,0
1,0.7157877683639526,0.6271535158157349,0.907785177230835,0.5090612173080444,0
1,0.7881711721420288,0.7458593845367432,0.9625089168548584,0.5241192579269409,0
1,0.635948896408081,0.5015590786933899,0.8092715740203857,0.5580829381942749,0
0,0.2830401360988617,0.12105251848697662,0.31421205401420593,0.5446715354919434,0
1,0.5588478446006775,0.41272515058517456,0.7117829322814941,0.54522305727005,0
1,0.3493773639202118,0.1931861788034439,0.4290991425514221,0.5023161172866821,0
1,0.7727299332618713,0.721904456615448,0.9539024233818054,0.5120356678962708,0
0,0.6720007061958313,0.5533307194709778,0.8558533787727356,0.5416351556777954,0
0,0.6864274740219116,0.5841119885444641,0.8794307708740234,0.5050519108772278,0
1,0.7247782945632935,0.6367528438568115,0.9134283661842346,0.5235291123390198,0
1,0.4978654384613037,0.34799957275390625,0.6352716088294983,0.522784948348999,0
0,0.3019050657749176,0.1426546573638916,0.3505614995956421,0.5230929255485535,0
1,0.35194846987724304,0.19586612284183502,0.4330584406852722,0.5018931031227112,0
0,0.6496872901916504,0.5208429098129272,0.827692985534668,0.5513646006584167,0
1,0.7582969069480896,0.6952479481697083,0.9429696798324585,0.5150494575500488,0
0,0.5467872619628906,0.4086770713329315,0.7071211338043213,0.502339780330658,0
1,0.5332881808280945,0.3855016231536865,0.6801286935806274,0.5351803302764893,0
1,0.8414993286132812,0.8459665775299072,0.9876409769058228,0.5402815937995911,0
0,0.8061689138412476,0.778395414352417,0.9724918603897095,0.5290700197219849,0
0,0.7247632741928101,0.6367275714874268,0.9134138226509094,0.5235334038734436,0
1,0.8901153802871704,0.9348466396331787,0.9979846477508545,0.5849144458770752,0
0,0.424479216337204,0.2633714973926544,0.5275773406028748,0.5404983758926392,0
0,0.8252505660057068,0.7722828984260559,0.9707592129707336,0.6401683688163757,0
1,0.44415655732154846,0.29165297746658325,0.5647001266479492,0.508076548576355,0
0,0.7255420088768005,0.6420730948448181,0.9164546132087708,0.5106547474861145,0
0,0.5422932505607605,0.4033631682395935,0.7009781002998352,0.5027837753295898,0
0,0.8884167075157166,0.9433568120002747,0.9984899759292603,0.5583898425102234,0
0,0.9080602526664734,0.9866735339164734,0.9999200105667114,0.5671139359474182,0
0,0.6188660264015198,0.4782778322696686,0.7852306962013245,0.5673131346702576,0
1,0.74013751745224,0.6629835963249207,0.9276712536811829,0.5193777680397034,0
1,0.8402800559997559,0.8435519933700562,0.9872177243232727,0.5398607850074768,0
1,0.7678304314613342,0.7127523422241211,0.9503148794174194,0.5130175352096558,0
1,0.6394858360290527,0.5064741373062134,0.814092218875885,0.5562962889671326,0
1,0.4109053313732147,0.257048100233078,0.5190986394882202,0.5022332072257996,0
0,0.7592151165008545,0.6961022019386292,0.9433432221412659,0.5171847343444824,0
1,0.723450243473053,0.638846755027771,0.9146279692649841,0.5103018879890442,0
1,0.8053807020187378,0.7769440412521362,0.9720862507820129,0.5288426876068115,0
0,0.575771152973175,0.443009614944458,0.7461893558502197,0.5004578232765198,0
1,0.8787673115730286,0.9226195216178894,0.997121274471283,0.5543550848960876,0
0,0.8188391923904419,0.8020592331886292,0.9786088466644287,0.5328595042228699,0
0,0.4939608573913574,0.343882292509079,0.6302510499954224,0.5215374231338501,0
0,0.7830764651298523,0.7415871620178223,0.961054801940918,0.510098397731781,0
0,0.8289805054664612,0.8349842429161072,0.9856491088867188,0.5036356449127197,0
1,0.8461527228355408,0.8552361726760864,0.989190399646759,0.5419102907180786,0
0,0.500950038433075,0.35453224182128906,0.6431971788406372,0.5092912316322327,0
1,0.32763728499412537,0.17037571966648102,0.3946197032928467,0.5081955790519714,0
1,0.45260393619537354,0.30047544836997986,0.576031506061554,0.5100057721138,0
0,0.454754114151001,0.29978808760643005,0.5751526951789856,0.523888885974884,0
1,0.6087595820426941,0.4647929072380066,0.7704538106918335,0.5733045339584351,0
0,0.8209764361381531,0.8061135411262512,0.9795656800270081,0.5335239768028259,0
0,0.525239109992981,0.3832131028175354,0.6774342656135559,0.5049008131027222,0
1,0.6568806767463684,0.5196824669837952,0.826621413230896,0.591795802116394,0
1,0.747063159942627,0.675125002861023,0.9337055087089539,0.5176547169685364,0
0,0.8371648192405701,0.8527143001556396,0.9887806177139282,0.5028340220451355,0
0,0.8029354214668274,0.7807533144950867,0.9731431007385254,0.5068842172622681,0
1,0.8916075825691223,0.9502934217453003,0.9988453984260559,0.5597601532936096,0
0,0.8293671607971191,0.835814356803894,0.9858056902885437,0.5035954713821411,0
1,0.7950381636619568,0.7581254243850708,0.9664953947067261,0.5259491801261902,0
1,0.8698977828025818,0.903878390789032,0.9954710602760315,0.5507899522781372,0
1,0.6984623074531555,0.5939223766326904,0.8863499164581299,0.531766951084137,0
0,0.4107099175453186,0.2568451762199402,0.5188254117965698,0.5022082924842834,0
0,0.7249161601066589,0.6411061882972717,0.9159099459648132,0.5105485320091248,0
0,0.4975210130214691,0.34763622283935547,0.6348293423652649,0.5226738452911377,0
1,0.8937391042709351,0.9549488425254822,0.9990559816360474,0.5606855750083923,0
1,0.6460238695144653,0.5156494975090027,0.8228608965873718,0.5530986189842224,0
